track_name,track_id,duration_ms,album_name,release_date,label,album_popularity,album_id,artist_id,duration_sec
I Got My Soul,3r5yJeCHvhUVB1ONbsUYFV,195000,I Got My Soul,2022-08-12 00:00:00 UTC,Fred Aberix,0,2xwmwENbM1gxVm8YL8Zjuo,4McxHK6GSCNFvhp9SZe9Dd,195.0
Abandoned Soul - Original Mix,2Ra0J4YUaaPJJv3OixsZKE,600952,Abandoned Soul,2017-11-11 00:00:00 UTC,Fack It Records,0,3ED3rOPJDvC32l5HDnkmn1,4SUQ1GFY0jmck4xkXmMKlk,600.952
"Conecta Con La Abundancia Universal / Atrae Amor, Prosperidad Y Felicidad",5UdzMe7xcU908M9nJSwW60,3661010,"Conecta Con La Abundancia Universal / Atrae Amor, Prosperidad Y Felicidad",2022-04-08 00:00:00 UTC,3589428 Records DK,0,3LdmcSHQn4Rk8tTy7iSNCO,2ZzxSgcTyj4wQntd0AZu8i,3661.01
É Bom Abessa,1lfusnyBkIBTFfvEwagg0Y,285048,É Bom Abessa,2023-09-15 00:00:00 UTC,SilvaMusicRecords,0,3UU3aJ4DfUGOV6jHxl2Dn4,57diNdTVwsk5c1YYDJ4fRs,285.048
Soul System,3Crz4CzMvcm6xe7nY8Kwzn,208269,Soul System,2021-07-14 00:00:00 UTC,Absono,0,3WWmV9wXSH6O5Fk2Sdsf7Y,5VHALOhoVOe2HOPjc2veq1,208.269
Abyss,2f7rTjdhIxnNboP4BIAiwN,158999,Abyss,2023-09-06 00:00:00 UTC,Spectral soul,0,3yRcGgkMAaL4VS9hiHnM7l,4j1dA5IY2gOQsgEp46BBTp,158.999
Torturing Soul,5Q2gBMKMxHcQDfi5tocAwg,194526,Torturing Soul,2023-01-21 00:00:00 UTC,Abyssal Agony,0,49N07ldjVdE703e7E4l4ID,12lmBBMRiEWpuM6vBnNYZz,194.526
Soul Abdication,6aWGlyCOYM3tYY6CBDJjdN,129131,Soul Abdication,2023-03-11 00:00:00 UTC,Nebular Records,0,4NMOzFBKSMOCTMNfDVAw8F,6U1NV3X6tt1HMqWDZpiI7h,129.131
Simon & Me,6y25loAqZBwgjJyJcPLQvp,241597,Simon & Me,2021-10-25 00:00:00 UTC,2021 Patiphon BY PIL LTD,0,4ZmAWCPs8w1dTG8SQkd5r5,00MEqfeoDRaf15ND8o2ZEK,241.597
Verflack Beat Type - Asap Rocky X Schoolboy Q Vf,5FLa3F7GhtKaNMdJoTH96g,161822,Verflack Beat Type - Asap Rocky X Schoolboy Q Vf,2021-12-22 00:00:00 UTC,The Verflack,0,4wKguEJrWYBmpndXxGJsH8,1wGeXDyz0lExkylok5ThRP,161.822
It'S All About Soul,0A9oS8wKbhmBPfjZ3qUgiE,186470,It'S All About Soul,2022-09-21 00:00:00 UTC,UniteSync,0,5K5XUKcRHCbVhlWads5nqM,4orOKV5MG3RkcyOHOeNked,186.47
Peace In Your Heart Freedom In Your Soul,7CPSTeEU2inhF64rO10qm7,226069,Peace In Your Heart Freedom In Your Soul,2023-12-11 00:00:00 UTC,LCS Lion Cool Soul,0,5bUhdn6Zz1mCNVWFoZKf0X,7aWhy4VzgTwBsjJ3ujtyix,226.069
Rockin Romance,2aUjD8IOnpzXhypyux6qg0,321290,Rockin Romance,2023-01-13 00:00:00 UTC,Cleveland City Digital,0,5pTWegFCjSQ3lFnaATIqpQ,1E7Oq0ErGmRQX8h8AVQCFX,321.29
Shut Up. Make It Happen 032122,5dZpK4nIpmkjGO8QFQs5Y1,169172,Shut Up. Make It Happen 032122,2022-04-12 00:00:00 UTC,3019398 Records DK,0,5uhSDcub4Dyaz9x5AoODge,6Lhlj0czyGn1ah6RkHS9s2,169.172
Souls Of Mahadi,08IKBHw1cFww4B8z2AvtPK,153621,Souls Of Mahadi,2023-07-11 00:00:00 UTC,AvidPlay,0,5wFV3V6qaseAVcRlb5jO8i,288mbzdj2IjZ6WC5fgThiS,153.621
It'S All About You,1yANiS8KHNM5e3c1AvaVV6,207197,It'S All About You,2021-12-31 00:00:00 UTC,Crealevant,0,5wTIjGGWxsZujAMocQytCL,0DmJL9hBd5g4GU7U2UmNvu,207.197
Abstract Principles,5nXoIcDYEEFTVvg4cBCArO,379354,Abstract Principles,2021-07-30 00:00:00 UTC,Pasqua Records,0,66hF4EozySTVUTZCXZnEWm,7kLDvQzFp88pS0geZetNbD,379.354
"Yeah, Whatever... 112121",173MrjlK8iilLNe1tHNfBp,114418,"Yeah, Whatever... 112121",2021-11-30 00:00:00 UTC,3019398 Records DK,0,6G2pUbJjXizyqo5Ws1yCaB,6Lhlj0czyGn1ah6RkHS9s2,114.418
Abstract Soulful Beat,4LuERfA10kjIJl3alMuKAA,105403,Abstract Soulful Beat,2022-04-18 00:00:00 UTC,Royal Tea Music,0,6OQHFJM4u2Gsn1wD8TeuZJ,4P0BDVVC8zLje4KNqD0ZXk,105.403
Aur Ho Rockstar,49Om6Spp5jewLCJwuykR0W,109953,Aur Ho Rockstar,2023-01-11 00:00:00 UTC,Jayant_unplugged,0,6Q19r7hGIn7U5gMXgMddC3,7xrOk6f5GPHHCKTOOfpKFj,109.953
Geometría Sagrada / Conexión Con La Abundancia Infinita De Amor Y Dinero,7lH8QWFrE7QlIcIaeeo3oS,3661010,Geometría Sagrada / Conexión Con La Abundancia Infinita De Amor Y Dinero,2022-05-10 00:00:00 UTC,3589428 Records DK,0,6Rfd0EiBBWmjdp9IHBxlAk,2ZzxSgcTyj4wQntd0AZu8i,3661.01
Good Time (Feat. J. Dutch & Jayne Rio),7pK3ZmWgsTBXKdDpSaiD7y,227888,Good Time (Feat. Jayne Rio & J. Dutch),2013-09-13 00:00:00 UTC,Rockus,0,6fmnCmCiVkEK00n8CT9nDw,5KuoTUB9MYcNyH9Djix2ze,227.888
Bonnie Wee Lassie,5EC7WVzqqntVM0VkYJ65K5,135161,Bonnie Wee Lassie,2018-09-23 00:00:00 UTC,"Mmmc Records, Inc.",0,6mLtYZH86MTLOoRg9unEoe,2XyO9fblAUBhVlBm37D3Ci,135.161
Rockstar Lifestyle - Radio Edit,0iVgpfzrkwrWIrI5L0mtoe,207000,Rockstar Lifestyle (Radio Edit),2023-10-28 00:00:00 UTC,5473763 Records DK,0,769dgqpWaqeL8iDIU44JZo,3yRy7olgu8xhdx1RD7kYBc,207.0
About Music,57f6sgau0JVpiJykGqYck4,412394,About Music,2017-09-10 00:00:00 UTC,Alien Records,0,7ABF8LGD0ibB0OBYEX2xY2,7Jw4VL3YHAClMJHFDsBxny,412.394
Majestic Edm Soul,3aOmudEVa0kg7Rr3aDqeGS,283086,Majestic Edm Soul,2023-12-05 00:00:00 UTC,LCS Lion Cool Soul,0,7cDhpw78AMYv1oG78Itjoy,7aWhy4VzgTwBsjJ3ujtyix,283.086
She Rocks That Body (Remix),6VsPqRwhkeCmPyFAWEnyfl,166672,She Rocks That Body (Remix),2021-01-01 00:00:00 UTC,Little Jay Fox,0,7ice6LI6UVulVg5w6NnmBs,5v8mq9tOzkI6Id4fSkt12z,166.672
2 On (In The Style Of Tinashe & Demi Schoolboy Q) [Karaoke Version],6lVvUCCEnxNFNzHSx0BSaK,232955,2 On (In The Style Of Tinashe & Demi Schoolboy Q) [Karaoke Version] - Single,2014-06-21 00:00:00 UTC,Singsongs Music Limited,0,1EfBKjoHvDZkgG9iYRLZdk,5dbp35H47nfmTAmCvg7El7,232.955
"Nabiyo Allah Soulaiman, Pt. 1",0JSPv0MrvRdhgiQHLu5rfj,1316786,Nabiyo Allah Soulaiman (Quran),2014-06-30 00:00:00 UTC,Farghab Sa,0,3Y42vZEE5PS3bfV0Al7NPG,7o8PkgRyVEX1MmH6ko1AvW,1316.786
Rocky Mountains - Original Mix,5M5bUZnIMYIY1bkblt7zIK,391875,Rocky Mountains,2021-07-25 00:00:00 UTC,Yeiskomp Records,0,4lvaBM3XwaDnChVNKvWm0o,1OAaIHzL4plidaReOnzTHQ,391.875
Wild About You,1HiDsuSjACTRgEZFv6IIP0,175982,Wild About You / Some Nights,2020-04-10 00:00:00 UTC,Alda Music,0,5LNrWgHEVjeWHSXxh1FcLQ,3BEIkQkCFPaqJAho1jgYbz,175.982
Some Nights,6AjJLoQcxHhFKHobOc42er,249037,Wild About You / Some Nights,2020-04-10 00:00:00 UTC,Alda Music,0,5LNrWgHEVjeWHSXxh1FcLQ,3BEIkQkCFPaqJAho1jgYbz,249.037
Studio (In The Style Of Schoolboy Q & Bj The Chicago Kid) [Karaoke Instrumental Version],2BlVCk4aedlkMynOLdpCcI,257884,Studio (In The Style Of Schoolboy Q & Bj The Chicago Kid) [Karaoke Instrumental Version] - Single,2014-07-17 00:00:00 UTC,Singsongs Music Limited,0,6Abf1C0HtSQ71VgoYL3MK4,46Ii49KGTckWh6cx3wObIo,257.884
Lafaye,4IDt9WeGyngVMGngtVYmQA,254280,Lafaye,2012-01-17 00:00:00 UTC,Vagrant Records,1,6HikbS5wHLPVOTuj3yn36y,1mBdei7fcRpbUEYHgsQN9H,254.28
Man Of The Year (Karaoke Vocal Version) [In The Style Of Schoolboy Q],2b3TWG3Fct7x5p8t4JyM6K,216659,Man Of The Year (Karaoke Version) [In The Style Of Schoolboy Q],2014-01-29 00:00:00 UTC,Karaoke Radar,0,6WNyRNxwU9TlZ7nY4MadaW,5vttcavgtEsQ7YtPE9etGv,216.659
Abduction,1JX7RxWgu1CcpCIE8xq6V6,399960,Abduction / Ancients,2016-03-25 00:00:00 UTC,MoBlack Records,0,7Eo5APTQwG5NaZkQDIjgzZ,4MEjpNOGc7C6xCxhdjSyUE,399.96
Rockin',1H1wDRwqReCa3o8qKUqmdK,371200,Rockin',2019-10-11 00:00:00 UTC,Helix Recordings,0,7JrAjLopXtfficLF7WJdHw,3kpZ5iLHQBzm1ro5caltwq,371.2
Flat Tummy - 124 Bpm,3ykjRwD0s7JgGDiisy6wZ7,187288,Flat Tummy,2022-03-12 00:00:00 UTC,ttbsproductions,1,1aVBIqDDNZIwxyLugMan7E,3hLJDYtWwNLz7p3V9BuBCV,187.288
Flat Tummy - 130 Bpm,3V6A6MIPyKgHDxFUKLUfIu,178644,Flat Tummy,2022-03-12 00:00:00 UTC,ttbsproductions,1,1aVBIqDDNZIwxyLugMan7E,3hLJDYtWwNLz7p3V9BuBCV,178.644
Man Of The Year (Originally Performed By Schoolboy Q) [Instrumental Version],0qqKdkXtJJIqhFlvAbAtXC,216598,Man Of The Year (Originally Performed By Schoolboy Q) [Karaoke Version],2014-11-11 00:00:00 UTC,Singer's Edge Karaoke,0,1wRfiNwfAsAd75YT0x7UHb,3CtgjasLNN3Ym8SHm5JuJn,216.598
Hardware (Rock Hard Ads),3GfQrigXAAm4V5ZWHRkqW8,166027,Flatbush,2021-01-29 00:00:00 UTC,Palms Out Sounds,5,1yZWmKDL12wyYpUQroX0KR,64yfjhFPMATyVqtB7knCCH,166.027
Soporific,08RGL0GTqVE28IccedAABl,390633,That Feeling,2023-10-02 00:00:00 UTC,Betrieb Records,1,22llr4HLdX5dbkFgVR5A4y,1awS4IAnfQ6hthXzZjKhqZ,390.633
This Feelin' - Soul Clap'S Classic Instrumental,3ylKXYq2tkFhOS3YC8sXhe,482557,This Feelin' (The Soul Clap Remixes),2014-06-16 00:00:00 UTC,Southern Fried Records,0,28V9ThwFCSI0toX7qWOqn7,1UzNFx3lnzFfoQHkF78tJl,482.557
Chardonnay - Poolside Remix,1gQApFeeWaeqkm7QsUhyvM,270424,It'S All In Your Head (Remixes),2020-08-21 00:00:00 UTC,The Undercover Dream Lovers,2,3BPwBljHvCbBLHXJ7NtRyl,4D42J3IJpcTm3zxzmZ7TCV,270.424
Nyc To L.A. - Respect The Flow - Instrumental,02wQqa3oIX2IXe4xg9poZt,242223,Nyc To L.A. - Respect The Flow (Feat. Jay Rock),2009-03-16 00:00:00 UTC,Poor Pocket Muzik,0,3dmO2Q5URy09IwpgFvgW1a,5T79klSdcTIlp2zO40kkAH,242.223
About Feelings - Original Mix,2LjzAobrI1efKsnqQvdMZj,306155,About Feelings,2013-10-28 00:00:00 UTC,Plexus Music,0,4Cbwlu2zFPnSF56qUgwVpF,2TMJwfENMwgEHnkbC9zmoV,306.155
The Abyss Of Withering Souls - Part 1,4SI0tvZE9Vvvlb8jbo2pY0,143267,The Abyss Of Withering Souls,2023-07-08 00:00:00 UTC,Razor Wire Noose Productions,0,4USwDIquQfZ6e6qYTFKj0w,02JpSGkpnasAgyRHkou01C,143.267
The Abyss Of Withering Souls - Part 2,5LbD9qqtSg1RKQKDAm7eJ0,471597,The Abyss Of Withering Souls,2023-07-08 00:00:00 UTC,Razor Wire Noose Productions,0,4USwDIquQfZ6e6qYTFKj0w,02JpSGkpnasAgyRHkou01C,471.597
Rough Abused - Korova Mix,6J8nMhQYIzoHN3WyMcK4yJ,441468,Dark Soul / Rough Abused,2014-12-29 00:00:00 UTC,MBR Limited,0,4hDdkcLES36tGEiWlcEiDe,23zJj2W0TQ0SvF4Fwo7mZK,441.468
School For Scoundrels (Instrumental),78WOZjqwC0RyftIcGVYH7T,170155,School For Scoundrels,2012-09-04 00:00:00 UTC,Coalmine Records,3,59vrWi8OiIR3MlO43tg6Lc,6fK2hnSgfRPxR6sL975XQS,170.155
So Blessed (Chicago Juke Dance Mix) [Radio Edit],4bQ0LJIBYF8LoFYQ9oU4Vp,196993,So Blessed (The Chicago Juke Remix),2020-12-02 00:00:00 UTC,Project Baby Music & Film,0,5OQTrk2JfRkCeAlhzGNIe9,2yMGGORUkeUaGpncYkH3yY,196.993
Shroom,3Szq4Tnl91MuQQlKP8zNFB,193816,Scooby,2022-11-04 00:00:00 UTC,Bamboo Artist & Label Service GmbH,2,5aXhpt0GM6oUtkZhBeJitw,3hZaebXqrD5crmyMP2x1qa,193.816
Secret,013AzMsMH0eUMJvJSlBlgs,23811,We'Re Done,2023-11-30 00:00:00 UTC,Evocable Records,4,6HRwES0HEqoaJ6qt0EWJco,3aeaoYXedyHE6kJdKdZ4Mw,23.811
Subconscious,2omBl9yumWZztVo8EZH2JS,240000,Absent Soul,2023-06-10 00:00:00 UTC,Daron Robson,0,6MyTmAyemSqAlq0bNLr6Hb,4vJc8H12qzSFspaOVcN1dN,240.0
Suicide Soul - Original Mix,6snbbXmHlWwxUxsF9S471y,415924,Obscure Abduction / Suicide Soul,2021-10-01 00:00:00 UTC,LETS TECHNO records,0,6NqTSfDSSKUurcqKwVEulk,5e7zUWLTcXV3kU45TSEz6q,415.924
Life Lessons,4PGw5vj0atijznhkPiPVs5,194676,Abnormal 2,2019-05-17 00:00:00 UTC,ABnormal HipHop,0,6jnwfE7TiIpgk6I3lmXhIk,54ZXuEDqhFbQhtiB2M32YG,194.676
Flat Shoe Riddim,0DY3LEVeodi2jsQ7C541HF,210891,Flat Shoe Riddim,2018-08-03 00:00:00 UTC,Royal-T Music,4,0NvMsMDTb5ScvXk6iM5nA2,0Eob3oXbs3eny5yHhM2QeW,210.891
Detritus - Ekdk Remix,3fLYswETB2IsnK4NUmivmN,433850,Otzarreta,2020-04-27 00:00:00 UTC,Alpha Black,1,3ZCJ6YBc7LlwekLYccTLfA,6CpfcxyyS8kQV2CdGL8yiK,433.85
Detritus,1tGjaRKq2f4DabJXIu9q4G,474300,Otzarreta,2020-04-27 00:00:00 UTC,Alpha Black,1,3ZCJ6YBc7LlwekLYccTLfA,6CpfcxyyS8kQV2CdGL8yiK,474.3
Shinkai Highway,6JHiXIkDjfeShWIkrQPfmM,188000,,2023-06-29 00:00:00 UTC,School Girls End,1,53yTrfzkOenc4pe51BCsfY,4vcyluVTBX2nluJwETsRMZ,188.0
Vanito - Vine Astro Mix,5UeZ1ixZCCVIDl2usnMhMz,442014,Quotes About Jazz (Vine Astro Mix),2015-01-01 00:00:00 UTC,Golden Stone Entertainment,0,5AzMisXATJ9ueF2AbNZJGi,06uRmWuRVX1VAWK2tzWCSe,442.014
Vintage - Vine Astro Mix,7xUw3RePZAoDRgBfz6zIpD,452231,Quotes About Jazz (Vine Astro Mix),2015-01-01 00:00:00 UTC,Golden Stone Entertainment,0,5AzMisXATJ9ueF2AbNZJGi,06uRmWuRVX1VAWK2tzWCSe,452.231
Haters - Original Mix,0GCqAhD9bD3Y4BGy2WXyh8,338000,Save My Soul Ep,2012-11-21 00:00:00 UTC,Itom Records,0,5fMdjrNOkc37YCCcDoTMgg,3Pdad1LrQM1Ia90iYRXjZX,338.0
We Gotta Rock It - (Extended Mix),0mEZ4fXc22f3IDMJWaVtzq,352880,We Gotta Rock It,2009-10-30 00:00:00 UTC,bmp-brown music productions & publishing,0,5foL980K8ewKAcGHCVuzxX,0Qv3vUScKLBajMziuSMBMu,352.88
Rocka - Silvio Ecomo Remix,3eAkuAGLwKjvnBH5jmH2ad,442500,Rocka,2009-06-12 00:00:00 UTC,FutureBase,0,6biBZoixWYiZvp4GknInwI,6WIU1qFqwiY5QFyy5Lhufj,442.5
Lonely Runner,0Zc73Hza0o3QvcsCZSwJ3y,486393,School For Masters,2015-01-26 00:00:00 UTC,Alola Records,1,6dVWwg3AFMqAx7vSEf5hTv,0LyfQWJT6nXafLPZqxe9Of,486.393
Abandoned Soul In Perlora,5K1jxj63lJeVXFNgvCaoR3,176262,Abandoned Soul In Perlora,2020-01-07 00:00:00 UTC,De Vega,0,0PayDN6rPtCIifAym0MolC,0Gi7Ir0G0nbuiKd6PdorFv,176.262
20/20 (Produced By Celph Titled) [Main Mix],1GbcvfLx8hTsR6055hbPXE,238146,What You Know About / 20-20,2001-01-01 00:00:00 UTC,BX Sci Foundation,0,0S9rkE4UciB9ReK2j4eMZn,2d5DdX4CKj3IPXbV4po1Ca,238.146
What You Know About (Produced By Paze) [Instrumental],7BubpLiF9suvugCzXpPaKx,225986,What You Know About / 20-20,2001-01-01 00:00:00 UTC,BX Sci Foundation,0,0S9rkE4UciB9ReK2j4eMZn,2d5DdX4CKj3IPXbV4po1Ca,225.986
Breathe - Dj Vivona Remix,1nzjtwhURDS84e0uHrCWS7,394197,Breathe (Feat. Billie Jean) [Including Abicah Soul And Dj Vivona Remixes],2013-10-28 00:00:00 UTC,Super Soul Music,0,1mVHT7skjet6AAohAPa08q,0CbvU94iUI2hAZcujPvpND,394.197
Sappy,4JB9W50hjM1ttkqNXIccWN,146666,Everything Old Is New Again,2021-11-06 00:00:00 UTC,Rakka Rakka Records,0,314e5QS7XPZY1ITn6wYffe,7uwtUiGP3iz7uuYXPCV0vn,146.666
Bottles,6obgJoJyekUFCutA5n0X3g,335466,Zeitgeist Ep,2023-04-01 00:00:00 UTC,Depth Charge Recordings,1,39ivoEgBZXmGv4T5Ncee4l,4fYoyKdvgqQEwaaY2Jir7G,335.466
Boathouse,0eSa2gzu23UGr9DTH67gWo,302386,Zeitgeist Ep,2023-04-01 00:00:00 UTC,Depth Charge Recordings,1,39ivoEgBZXmGv4T5Ncee4l,4fYoyKdvgqQEwaaY2Jir7G,302.386
Got Away,0EBIvidjNqNOlvg1ZjxI0j,204720,Gypsy Soul,2018-11-08 00:00:00 UTC,Pure Music Nashville,2,3zfIuAfUGzpWm52j0X78TO,5vMsA1UGCV70cRKM5zkuhr,204.72
Halcyon,6iojH7Ln4GM5OyxJyqYKTl,286905,The Answer - Ep,2007-01-01 00:00:00 UTC,"Tribunal Records, Inc",0,4531wupuLZvX5q2ED6jmmg,4cHVITJRCBZpcITpKGaE7R,286.905
Only Love,19BbHfvv1uA9C2HhWGoqv7,71338,Treasure Rock**,2021-03-26 00:00:00 UTC,Black Hell Music Entertainment,0,5EWh7OKFFtGU7Cxrfs9GwP,2tVZW9JiVFIuOmFi2picXI,71.338
Caja Llena (Feat. Neto Peña) - B.Smile Remix,37tPRPeY8kf22NAeNjef5v,193087,Estrafalario Remixes,2023-12-15 00:00:00 UTC,ERICK ADRIÁN GUTIÉRREZ CERVANTES,0,5KFpVwAQYVKK9Gg2VXFoI2,0U8dIwzBn17JkhYxmznp6T,193.087
Ley De Supervivencia,4W6ewL4CxZa2ZUJ5clNdoj,206235,Desayunando Calle,2018-11-28 00:00:00 UTC,UnderClass U.C.,5,73XIu028LoP03p58et5qb4,3PbzygNiM8isqjzMneD7BG,206.235
Garden,6GOtt3xrfphaR69qhxFbiq,68350,School,2020-10-23 00:00:00 UTC,927627 Records DK,1,7lbOJzFBusLmKW7gKl8LsH,0x98TiJQss5AfCybxcQKpW,68.35
Save Your Soul - Instrumental,79ImSBQpZskyTQzzskXokL,222000,Save Your Soul,2020-01-24 00:00:00 UTC,Absinth Beats,0,06GRGa8nn5bqT5TMGYfour,0b2Pn4KIEhy4x1wOH2hOi8,222.0
Save Your Soul - Mykel Mars Retro Instrumental,1zv7McQJv3sn1jg5Two0qX,211976,Save Your Soul,2020-01-24 00:00:00 UTC,Absinth Beats,0,06GRGa8nn5bqT5TMGYfour,0b2Pn4KIEhy4x1wOH2hOi8,211.976
Mi Cabez Sando Vueltas,096LtqdHxlnOCPCAOI81oX,206700,Jam Rock Rocking,2021-09-03 00:00:00 UTC,Krush Proof Muzik,3,0Fcw5cqV7AQgDMwxit50ge,0LyfQWJT6nXafLPZqxe9Of,206.7
Retribution,3uRADdnOALaU6rFQa8eess,204281,Jam Rock Rocking,2021-09-03 00:00:00 UTC,Krush Proof Muzik,3,0Fcw5cqV7AQgDMwxit50ge,0LyfQWJT6nXafLPZqxe9Of,204.281
Slow Motion Suicide,2vmqRcT8SefAtQKl6roiN1,287555,Underachievers,2014-10-22 00:00:00 UTC,Nervous Tick Records,0,0Vy0NlDlRwgvNGN9L2rEj3,5qE8vS7TbTZ9jG3UzC9HHq,287.555
Flat Beat - Drum Beats Drumbeats Mix,2k0IefVY1jU4O6XFBufhvr,329800,Flat Beat 2014,2014-02-27 00:00:00 UTC,TechnoTrance-Essentials.com,1,0fD1Rxsi9yh95Y4yD6Tuj7,0OKsfnhnhCpEVc5CiSyXn9,329.8
What It'S All About,4SxxmZWv64dmVW9eBuabXt,217000,Blackbush Ep,2012-05-08 00:00:00 UTC,Flagship,5,1GeMkxijQVUGwrFD4eeJup,54CUt2S6hufxE1MTYqVpmT,217.0
Krig,7FUmpKNNheiyZMBlthhov3,157180,Rockfellas,2015-03-01 00:00:00 UTC,L'Ranch,0,1zmLGZwBgqKvUfdzkbEKB6,6c9IzrHBT281NyC3m4ENju,157.18
Whiskey And Reefer,58wL0EFUPhH8rHBtOTiEt4,181917,Flat Head Ford,2018-06-27 00:00:00 UTC,Joe Asselin,1,2cVORVVOL8yOG5HlxY6QqT,1wfqoop8pdXN1UK1WGooj7,181.917
Waster,3B4u13f0CWkvsdeKP9zikq,158850,None Of The Above,2013-01-01 00:00:00 UTC,Independent Artist,0,2pcbEnssMNYq5l2C1LZJ5n,77KyCyLyDdDyRaRI2LqjRC,158.85
None Of The Above,4wGjiX56gV7Hl9pdKkyHZU,169247,None Of The Above,2013-01-01 00:00:00 UTC,Independent Artist,0,2pcbEnssMNYq5l2C1LZJ5n,77KyCyLyDdDyRaRI2LqjRC,169.247
Possibile,5yomhO1vs26etyfi2jTh12,410675,Flashbulbs,2021-05-14 00:00:00 UTC,RE_verb,1,3Slz5DcMjZGZNAu5ryeT9w,6gOjAL5Gyg6GuIcTCl8JaC,410.675
Blue Sunday,1vWJasCafXSy7EX99k4ktU,345364,School Is Out,2023-10-20 00:00:00 UTC,Nkanyezi Kubheka Projects,4,4YYE5fGMb7Qko8Vntu79Zz,34L5bwC8Jxqbt8jvxWjh9J,345.364
Magnifico,7j7tyxseX7jvfapEujpwr1,208635,Forgotten Souls,2019-07-01 00:00:00 UTC,Bass Rabbit Recordings,0,5MdhuDm4GBj7O1MzswX7UX,5g61dVacQnYYkt0Nz8WPXZ,208.635
